game,max_prize,card_price,expected_payout,payout_ratio
$1 - Decade of Dollars,$500,1,0.7074954958999152,0.7074954958999152
"$1,000,000 Bonus Cash",$1 million,5,3.904084886312596,0.7808169772625192
"$1,000,000 Bonus Play",$1 million,5,3.8901838587778412,0.7780367717555683
"$1,000,000 Cash Wheel",$1 million,5,3.9327975109279842,0.7865595021855969
"$1,000,000 Frosty the Doughman",$1 million,5,3.923893726238859,0.7847787452477718
"$1,000,000 Jackpot",$1 million,5,3.9049508498361662,0.7809901699672332
"$1,000,000 Lucky",$1 million,5,3.9376154424438883,0.7875230884887776
"$1,000,000 Money Game",$1 million,5,3.63725543770387,0.727451087540774
"$1,000,000 Payout",$1 million,5,3.9053171366163593,0.7810634273232718
"$1,000,000 Platinum Payout",$1 million,5,3.904943152731754,0.7809886305463508
"$1,000,000 Players Club",$1 million,5,3.9056571931245623,0.7811314386249124
$10 - Decade of Dollars,"$20,000",10,8.318878149263101,0.8318878149263101
"$10,000 Bonus Cash","$10,000",1,0.6995221757275132,0.6995221757275132
"$10,000 Frosty the Doughman","$10,000",1,0.6995224893077017,0.6995224893077017
"$10,000 Gold Rush","$10,000",1,0.6980416087136226,0.6980416087136226
"$10,000 Winter Ice","$10,000",1,0.6995224893077017,0.6995224893077017
"$10,000,000 Bankroll",$10 million,20,16.951576358210914,0.8475788179105457
"$10,000,000 Gold",$10 million,20,16.887312075793986,0.8443656037896993
"$10,000,000 Spectacular",$10 million,20,16.882193023122813,0.8441096511561407
"$100,000 Bonus Cash","$100,000",2,1.4579725996192652,0.7289862998096326
"$100,000 Frosty the Doughman","$100,000",2,1.4581763665892848,0.7290881832946424
"$100,000 Pay Day","$100,000",2,1.4579725996192652,0.7289862998096326
"$100,000 Payout","$100,000",2,1.4579718318750194,0.7289859159375097
"$100,000 Silver","$100,000",2,1.457735677822625,0.7288678389113125
"$100,000 Triple Diamonds","$100,000",2,1.457972573786771,0.7289862868933855
"$100,000 a Year for Life!","$100,000",5,3.4593272572322826,0.6918654514464565
$2 - Decade of Dollars,"$1,000",2,1.4770989233693654,0.7385494616846827
"$2,000,000 50x Cashword",$2 million,10,8.285802209685633,0.8285802209685633
"$200,000 a Year for Life","$200,000",10,7.573143170134672,0.7573143170134672
"$4,000,000 Black Diamonds",$4 million,10,8.4153236645088,0.84153236645088
"$4,000,000 Bonus Cash",$4 million,10,8.479916945439316,0.8479916945439315
"$4,000,000 Gold Rush",$4 million,10,8.430225320556623,0.8430225320556624
"$4,000,000 Mega Bucks",$4 million,10,8.485228667075376,0.8485228667075375
"$4,000,000 Payout",$4 million,10,8.485406314186442,0.8485406314186441
"$4,000,000 Winfall",$4 million,10,8.38345766304831,0.8383457663048309
$5 - Decade of Dollars,"$10,000",5,3.9262056118227067,0.7852411223645414
$5 Holiday Cheer,$1 million,5,3.9083427809327826,0.7816685561865565
"$5,000,000 100X Cashword",$5 million,20,16.739791997824334,0.8369895998912167
$50 Mayhem,"$10,000",1,0.6996738677962888,0.6996738677962888
$50 in a Flash,"$10,000",1,0.6996738677962888,0.6996738677962888
$500 Madness,$500,10,8.019226325640933,0.8019226325640932
"$500,000 Bonus Link Cashword","$500,000",5,3.8090716019640833,0.7618143203928167
"$500,000 Cashword Corners","$500,000",5,3.808724220599448,0.7617448441198895
100X Bonus,$4 million,10,8.450971342034537,0.8450971342034537
100x,$4 million,10,8.486239399287584,0.8486239399287584
100x Payout,$4 million,10,8.491447355304736,0.8491447355304735
10X Bonus,"$10,000",1,0.6995590299972226,0.6995590299972226
200x,$15 million,30,25.50228817657939,0.8500762725526464
20X Bonus,"$100,000",2,1.4578408826071687,0.7289204413035844
20x,"$100,000",2,1.4579740899895426,0.7289870449947713
20x Payout,"$100,000",2,1.4579740899895426,0.7289870449947713
24k Madness,"$100,000",2,1.4581310274791097,0.7290655137395549
50X Bonus,$1 million,5,3.9164801686566024,0.7832960337313205
7,$1 million,5,3.936270422531429,0.7872540845062858
Bonus Bar Bingo,"$50,000",2,1.4589089182378256,0.7294544591189128
Break the Bank,"$100,000",2,1.4581310274791097,0.7290655137395549
Cash Match,"$100,000",2,1.4580641235545642,0.7290320617772821
Cash Money,"$100,000",2,1.4820098319441717,0.7410049159720858
Cash To Go!,"$5,000",1,0.6996313321004675,0.6996313321004675
Cash in a Flash,$1 million,10,8.01936568603887,0.8019365686038871
Corvette Cash,"$250,000",5,3.4046422763442132,0.6809284552688426
Diamond 9s,$4 million,10,8.395634217972209,0.8395634217972209
Diamond Millions,$1 million,30,23.95061722384368,0.798353907461456
